               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066471,            0.056045,            0.015872,             0.63933,             0.75238,             0.70843,             0.37285,            0.043678,            0.018566,           0.0056241,           0.0033263,           0.0033263,            0.070063
                   1,            0.050038,            0.053477,           0.0070494,             0.71499,              0.7533,             0.75568,             0.38385,            0.043691,            0.018002,            0.003979,            0.006659,            0.006659,            0.040062
                   2,            0.047494,            0.053687,           0.0062854,             0.74716,             0.65655,             0.72769,              0.3671,            0.046131,            0.019497,           0.0042537,           0.0099891,           0.0099891,            0.010059
                   3,            0.045985,            0.055696,           0.0061903,             0.66889,              0.7645,             0.72892,             0.36649,            0.041004,            0.019461,           0.0039555,           0.0099911,           0.0099911,           0.0099911
                   4,            0.043917,            0.055124,           0.0057193,             0.69722,              0.7508,             0.72935,             0.38098,            0.041466,            0.019533,           0.0028183,           0.0099911,           0.0099911,           0.0099911
                   5,            0.043552,            0.054393,           0.0053401,             0.76965,              0.7478,             0.76875,             0.39638,            0.042006,            0.018967,           0.0035198,           0.0099842,           0.0099842,           0.0099842
                   6,            0.042856,            0.054121,           0.0052639,             0.69182,             0.78206,             0.74389,              0.4009,            0.040147,            0.018888,           0.0034705,           0.0099753,           0.0099753,           0.0099753
                   7,            0.042443,            0.053535,           0.0051391,              0.7142,             0.75726,             0.76459,             0.41473,            0.042854,            0.018405,           0.0033351,           0.0099645,           0.0099645,           0.0099645
                   8,            0.042146,            0.053574,           0.0048745,             0.76297,             0.74964,             0.77991,             0.43539,            0.041574,            0.017913,           0.0031909,           0.0099517,           0.0099517,           0.0099517
                   9,            0.041649,            0.053096,           0.0046542,             0.69106,             0.70373,             0.72479,             0.38535,            0.040914,            0.019602,           0.0032816,            0.009937,            0.009937,            0.009937
                  10,            0.041414,            0.052412,           0.0045413,             0.76509,             0.72207,             0.75535,             0.41625,            0.039831,             0.01892,            0.003524,           0.0099203,           0.0099203,           0.0099203
